Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מרצדס,1999, CLK,6,אוטומטית,3200,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,אום אל פחם,30000.0,3,2023-06-08,2023-06-08,רכב במצב טוב למבני עניין מחיר סופי,כסוף מטאלי,270000,
מרצדס,2006, C-Class קופה,4,אוטומטית,2000,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,29000.0,9,2023-03-20,2023-06-04,"רכב שמור מאוד,
אצלי משנת 2015 
תמיד טופל במוסך מורשה
מנוע מאוד חזק",כסף מטלי,155000,
מרצדס,2018, E-Class קופה / קבריולט,3,אוטומטית,2000,בנזין,פרטית,פרטית,גליל ועמקים,נצרת,280000.0,6,2023-06-03,2023-06-03,"רכב נקי ללא תאונות ללא שריתות עם כל התוספות AMG עם ציפוי נאנו 5 שכבות , לרציניים בלבד",אפור מטאלי,82000,
מרצדס,2017, A-Class,2,אוטומטית,2000,בנזין,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,165000.0,7,2023-05-31,2023-05-31,"211 כוח סוס
A250 FL AMG
רכב שמור ומטופל בזמן
קיט AMG מהחברה 
דפיוזר של A45
גנטים AMG מקורים בשווי 10 אלף
כסאות עור מושב חשמלי 12 צבע ליד מצלימת ריוורס
חניה אוטומטית
טסט לשנה 
לפרטים נוספים נא לצור קשר",לבן,114500,
מרצדס,2008, C-Class,8,אוטומטית,1800,בנזין,פרטית,פרטית,קיסריה והסביבה,אור עקיבא,43000.0,2,2023-03-29,2023-05-17,"c200 1800 בנזין אטוונגר, הנעה אחורית 184 כ״ס, מערכת אנדרוינד מפוארת עם מצלמה קדמית dvr!! גריל יהלומים, גנטים של Amg כל הרכב קרבון במפנים",שחור,333000,
מרצדס,2011, C-Class,8,אוטומטית,2200,דיזל,מונית,פרטית,עכו - נהריה,נהריה,35000.0,8,2023-03-14,2023-04-04,שמור מאוד ומטופל כל 10א עם שמנים ופילטרים איכותיים ותוספי שמן לאקסטרה שמירה על המנוע הדגם המיוחד והמבוקש עם פנים בצבע קרם כסאות מעור ניהול תוכנה אצל ריפלש טים הרכב עומד על 200 כס ו46 קגמ פחות מ7 שניות ל100 חסכוני מאוד נעשה גם טיפול שמנים ואטם לגיר הכל עובד כמו שעון וגם מתחייב על זה גאנטים 18 של amg עם צמיגים בני שנה מאושרים ברישיון טסט ארוך נוזל קירור וטרמוסטט חדש מגבים חדשים אפשרות החלפה,לבן,474000,
מרצדס,2017, C-Class קופה,3,אוטומטית,2000,בנזין,פרטית,פרטית,גליל ועמקים,שפרעם,238000.0,10,2023-03-27,2023-03-27,"רכב נדיר ושמור מטופל בחברה,נסע 83,000ק״מ , 03 ברשיון, ללא תאונות מתחייב על גיר מנוע ושילדה אחרי פינוק עם ננו פוליש ווקס לרצינים בלבד.",שחור,83000,
מרצדס,2021, CLA,1,אוטומטית,1300,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,263000.0,3,2023-03-04,2023-03-04,"מציאה במצב תצוגה ללא שריטה. קילומטרג' נמוך מאוד. ים תוספות בהזמנה אישית מהיצרן .חיבור אפל קאר וסמסונג אלחוטי. גריל gt, גג פנורמי , מצלמת נסיעה (דרך) יחודית מקורית. דגם פרוגרסיב + עם כל התוספות האפשריות. לאחר טיפול במוסך מרכזי. טסט לשנה. נמכר עקב חוסר בשימוש. גמישות במחיר לרציניים בלבד!!
לפרטים: 052-2592105 לא בשבת!!",שחור,11000,
מרצדס,2014, E-Class קופה / קבריולט,2,אוטומטית,2000,בנזין,פרטית,פרטית,גליל ועמקים,ריינה,130000.0,4,2023-03-04,2023-03-03,"שנה 2014!!
יד 02 פרטית !!!
נפח 2000 טורבו !!!
נסע רק 135 קיימ .!!
רכב חדש שמור מטופל כמו שצריך מכול הלב כול התוספות מתחייב בבדיקה גיר מנוע ו שלדה !!
גג פנורמי !!
לעוד פרטים בפרטי .
טל 0534549239.",אפור מטאלי,139000,
מרצדס,2017, E-Class,1,אוטומטית,2000,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,272000.0,5,2023-02-09,2023-02-20,"רכב במצב חדש! נקנה מהחברה נהג יחיד מבוגר בקושי נסע חניה מקורה ללא תאונות. 
טופל במוסך מרכזי שמור בקנאות.
דגם אקסלוסיב כל התוספות הגרסה המנועית בנזין בלבד -המוצלחת 245 כ""ס.

לרציניים בלבד, לא בשבת.
כל הקודם זוכה.",שחור,27000,
